-96,256,100
224,256,100
1008,160,100
1488,208,100
2000,224,100
2240,80,100
2480,0,100
2944,0,100
3280,176,100
3696,240,100
4256,208,100
4544,32,100
4896,16,100
5328,32,100
5712,96,100
6144,256,100
6368,400,100
6768,496,100
7184,464,100
7440,384,100
7824,400,100
8176,432,100
8416,592,100
8496,560,100
8544,432,100
8672,384,100
8784,384,100
8928,384,100
9184,432,100
9312,544,100
9584,576,100
9808,608,100
10192,688,100
10544,896,100
10832,1104,100
11312,1280,100
11712,1408,100
12096,1504,100
12720,1616,100
13184,1424,100
13440,1296,100
13744,1328,100
14208,1440,100
14432,1472,100
14864,1584,100
15120,1584,100
15664,1552,100
16016,1664,100
16624,1648,100
16896,1536,100
17248,1488,100
17488,1552,100
17808,1632,100
18128,1664,100
18464,1696,100
18656,1872,100
18864,1872,100
19136,1760,100
19312,1760,100
19456,1840,100
19568,1872,100
20112,1856,100
20448,1808,100
20688,1856,100
21104,1856,100
21584,1840,100
21728,1824,100
21856,1888,100
22096,2064,100
22336,2192,100
22560,2176,100
22864,2160,100
23232,1968,100
23456,1936,100
23744,1952,100
24032,2128,100
24224,2112,100
24464,1984,100
24592,1952,100
24720,1952,100
24992,2016,100
25136,2112,100
25232,2128,100
25536,2112,100
25920,2080,100
26112,2112,100
26240,2176,100
26368,2352,100
26496,2544,100
26640,2784,100
26768,2928,100
26992,3168,100
27168,3472,100
27392,3744,100
27552,3888,100
27760,4176,100
27952,4544,100
28080,4704,100
28416,4688,100
28688,4800,100
29040,4800,100
29440,4784,100
29840,4784,100
30336,4800,100
30800,4816,100
31040,4784,100
31392,4688,100
31584,4624,100
31728,4624,100
32080,4672,100
32240,4656,100
32528,4592,100
32800,4400,100
33008,4336,100
33376,4064,100
33568,3984,100
33952,3744,100
34240,3472,100
34464,3248,100
34656,3280,100
34800,3392,100
35104,3408,100
35296,3408,100
35728,3408,100
36000,3280,100
36224,3168,100
36352,3040,100
36688,2800,100
36912,2768,100
37088,2624,100
37248,2576,100
37456,2480,100
37792,2512,100
37856,2528,100
38176,2512,100
38384,2512,100
38704,2512,100
38832,2512,100
39120,2448,100
39328,2512,100
39728,2512,100
40176,2496,100
40544,2560,100
40752,2688,100
41056,2864,100
41472,2880,100
41824,2848,100
42064,2672,100
42208,2544,100
42464,2608,100
42624,2736,100
42944,2864,100
43296,2864,100
43904,2880,100
44400,2960,100
44480,2960,100
44672,2960,100
44672,2960,100
